Test run for 90 minutes of runtime, approximately one full orbit for most LEO sats.

CPU

	11th Gen Intel(R) Core(TM) i3-1115G4 @ 3.00GHz

	Base speed:	3.00 GHz
	Sockets:	1
	Cores:	2
	Logical processors:	4
	Virtualization:	Enabled
	L1 cache:	160 KB
	L2 cache:	2.5 MB
	L3 cache:	6.0 MB

Total sats: 16978
TIME 0.0
TIME 0.1
...
TIME 5399.800000002113
TIME 5399.900000002113

         961071828 function calls (960701551 primitive calls) in 3883.942 seconds

   Ordered by: internal time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
        1 2913.363 2913.363 3883.947 3883.947 satEvol.py:1(<module>)
1595/1513    0.009    0.000    0.053    0.000 inspect.py:2375(_signature_from_callable)
      494    0.009    0.000    0.243    0.000 cpu.py:60(load_additional_registries)
15024/13630    0.009    0.000    0.246    0.000 contextlib.py:130(__enter__)
    14661    0.009    0.000    0.015    0.000 values.py:564(_get_reference)
       24    0.009    0.000    0.009    0.000 numeric.py:65(zeros_like)
      105    0.008    0.000    0.018    0.000 enum.py:180(__new__)
    51349    0.008    0.000    0.008    0.000 creation.py:24(_xyz_to_coords)
16589/16424    0.008    0.000    0.027    0.000 {built-in method builtins.any}
     3952    0.008    0.000    0.040    0.000 base.py:352(install_registry)
    65328    0.008    0.000    0.010    0.000 {method 'add' of 'set' objects}
     1844    0.008    0.000    0.012    0.000 inspect.py:2920(__init__)
    72955    0.008    0.000    0.008    0.000 abstract.py:96(key)
     1068    0.008    0.000    0.349    0.000 <frozen importlib._bootstrap_external>:950(get_code)
3898/2002    0.008    0.000    0.056    0.000 context.py:343(get_meminfos)
     8174    0.008    0.000    0.019    0.000 typeconv.py:40(check_compatible)
    34043    0.008    0.000    0.011    0.000 utils.py:484(sublist_iterator)
     1236    0.008    0.000    0.106    0.000 <frozen importlib._bootstrap>:921(_find_spec)
    94670    0.008    0.000    0.008    0.000 {method 'lstrip' of 'str' objects}
      929    0.008    0.000    0.020    0.000 instructions.py:68(__init__)
    82964    0.008    0.000    0.008    0.000 {built-in method time.perf_counter}
 1505/310    0.008    0.000    1.687    0.005 <frozen importlib._bootstrap>:1022(_find_and_load)
5563/4013    0.007    0.000    2.091    0.001 templates.py:356(apply)
    14007    0.007    0.000    0.010    0.000 builder.py:351(_insert)
     1012    0.007    0.000    0.013    0.000 backend_pdf.py:2589(delta)
        8    0.007    0.001    0.602    0.075 feature_artist.py:154(draw)
4329/4060    0.007    0.000    0.052    0.000 abstract.py:61(__call__)
      484    0.007    0.000    0.014    0.000 path.py:319(make_compound_path)
     6516    0.007    0.000    0.082    0.000 initialise.py:111(wrap_stream)
6887/6839    0.007    0.000    0.015    0.000 values.py:445(__init__)
     1056    0.007    0.000    0.091    0.000 npydecl.py:92(generic)
    42016    0.007    0.000    0.007    0.000 event.py:148(is_end)
    16892    0.007    0.000    0.116    0.000 base.py:1249(exit_fn)
    13081    0.007    0.000    0.016    0.000 enum.py:359(__call__)
    15028    0.007    0.000    0.028    0.000 contextlib.py:279(helper)
    20339    0.007    0.000    0.133    0.000 ir.py:611(list_vars)
    16892    0.007    0.000    0.092    0.000 base.py:1246(enter_fn)
      192    0.007    0.000    0.011    0.000 _linalg.py:1141(eigvals)
    12331    0.007    0.000    0.007    0.000 {method 'split' of 'str' objects}
      568    0.007    0.000    0.008    0.000 crs.py:961(equals)
     8196    0.007    0.000    0.015    0.000 target_extension.py:53(get_local_target)
      974    0.007    0.000    0.025    0.000 backend_bases.py:336(_iter_collection)
      670    0.007    0.000    0.010    0.000 creation.py:361(multilinestrings)
    36635    0.007    0.000    0.007    0.000 _utils.py:13(is_used)
        2    0.007    0.003    0.010    0.005 colorizer.py:161(_pass_image_data)
2608/1657    0.007    0.000    0.240    0.000 functools.py:961(__get__)
     2499    0.006    0.000    0.010    0.000 <frozen importlib._bootstrap>:179(_get_module_lock)
      546    0.006    0.000    0.027    0.000 trace.pyx:161(project_points)
     6904    0.006    0.000    0.010    0.000 typeinfer.py:899(__getitem__)
     2116    0.006    0.000    0.030    0.000 context.py:286(find_matching_getattr_template)
     2136    0.006    0.000    0.018    0.000 <frozen importlib._bootstrap_external>:380(cache_from_source)
     9217    0.006    0.000    0.008    0.000 <frozen importlib._bootstrap_external>:128(<listcomp>)
    22027    0.006    0.000    0.009    0.000 sre_parse.py:165(__getitem__)
     6516    0.006    0.000    0.045    0.000 ansitowin32.py:49(isatty)
    17486    0.006    0.000    0.006    0.000 sre_parse.py:234(__next)
      973    0.006    0.000    0.024    0.000 analysis.py:235(compute_cfg_from_blocks)
     3239    0.006    0.000    0.013    0.000 numpy_support.py:148(as_dtype)
     8017    0.006    0.000    0.088    0.000 inspect.py:725(getdoc)
      726    0.006    0.000    0.007    0.000 analysis.py:81(def_reach)
        9    0.006    0.001    0.006    0.001 {built-in method matplotlib._path.update_path_extents}
    64879    0.006    0.000    0.006    0.000 {method 'values' of 'dict' objects}
        2    0.006    0.003    0.162    0.081 image.py:575(draw)
     9217    0.006    0.000    0.016    0.000 <frozen importlib._bootstrap_external>:126(_path_join)
     2268    0.006    0.000    0.006    0.000 {built-in method _abc._abc_init}
     2499    0.006    0.000    0.007    0.000 <frozen importlib._bootstrap>:100(acquire)
9783/9772    0.006    0.000    0.029    0.000 context.py:540(can_convert)
    10250    0.006    0.000    0.012    0.000 __init__.py:778(__getitem__)
  775/435    0.006    0.000    2.573    0.006 typeinfer.py:568(resolve)
     3258    0.006    0.000    0.087    0.000 initialise.py:37(init)
     1430    0.006    0.000    0.016    0.000 ir.py:592(__repr__)
      130    0.006    0.000    2.442    0.019 __init__.py:1(<module>)
    15150    0.006    0.000    0.015    0.000 {built-in method builtins.setattr}
    10217    0.005    0.000    0.006    0.000 registry.py:67(__getitem__)
 1168/539    0.005    0.000    0.056    0.000 patch.py:51(geos_to_path)
    67142    0.005    0.000    0.005    0.000 targetconfig.py:38(default)
     3453    0.005    0.000    0.007    0.000 types.py:158(__init__)
     3634    0.005    0.000    0.011    0.000 instructions.py:708(descr)
     6552    0.005    0.000    0.022    0.000 _collections_abc.py:828(__contains__)
   106/64    0.005    0.000    1.135    0.018 lowering.py:266(lower_block)
3513/1087    0.005    0.000    0.007    0.000 sre_parse.py:175(getwidth)
      133    0.005    0.000    0.014    0.000 __init__.py:328(namedtuple)
     1449    0.005    0.000    0.022    0.000 path.py:99(__init__)
    12273    0.005    0.000    0.007    0.000 ir.py:387(__getattr__)
     3634    0.005    0.000    0.035    0.000 builder.py:968(extract_value)
     3634    0.005    0.000    0.026    0.000 instructions.py:693(__init__)
    16441    0.005    0.000    0.058    0.000 trace.pyx:245(get_state)
       12    0.005    0.000    0.005    0.000 {method 'decode' of 'ImagingDecoder' objects}
     1794    0.005    0.000    0.085    0.000 typeof.py:27(typeof)
     1155    0.005    0.000    0.024    0.000 colors.py:324(_to_rgba_no_colorcycle)
     1860    0.005    0.000    0.006    0.000 functions.py:245(__init__)
    11148    0.005    0.000    0.007    0.000 errors.py:844(new_error_context)
     4329    0.005    0.000    0.017    0.000 abstract.py:49(_intern)
     2002    0.005    0.000    0.071    0.000 context.py:360(_call_incref_decref)
     3260    0.005    0.000    0.009    0.000 functions.py:78(add_error)
  1196/66    0.005    0.000    1.669    0.025 <frozen importlib._bootstrap>:664(_load_unlocked)
     9846    0.005    0.000    0.011    0.000 target_extension.py:15(__getitem__)
11822/11380    0.005    0.000    0.017    0.000 misc.py:63(unliteral)
     1013    0.005    0.000    0.018    0.000 lowering.py:402(<listcomp>)
     4680    0.005    0.000    0.015    0.000 base.py:123(_match)
    17308    0.005    0.000    0.057    0.000 ffi.py:139(__getattr__)
22485/18312    0.005    0.000    0.024    0.000 abc.py:121(__subclasscheck__)
  1250/63    0.005    0.000    1.679    0.027 <frozen importlib._bootstrap>:987(_find_and_load_unlocked)
    74/72    0.005    0.000    0.219    0.003 registry.py:54(apply)
     7976    0.005    0.000    0.007    0.000 os.py:755(encode)
     1526    0.005    0.000    0.008    0.000 functools.py:35(update_wrapper)
     4248    0.005    0.000    0.023    0.000 base.py:103(_match_arglist)
     1008    0.005    0.000    0.015    0.000 instructions.py:551(__init__)
     2079    0.005    0.000    0.032    0.000 colors.py:277(to_rgba)
    10582    0.005    0.000    0.007    0.000 __init__.py:698(_get)
       46    0.005    0.000    0.022    0.000 castgraph.py:92(propagate)
     1196    0.005    0.000    0.026    0.000 <frozen importlib._bootstrap>:492(_init_module_attrs)
        9    0.005    0.001    0.005    0.001 {method 'readlines' of '_io._IOBase' objects}
     1212    0.005    0.000    0.091    0.000 <frozen importlib._bootstrap_external>:1399(_get_spec)
        9    0.005    0.001    0.005    0.001 set_operations.py:79(intersection)
     2401    0.005    0.000    0.006    0.000 values.py:1051(__init__)
     1146    0.005    0.000    0.005    0.000 predicates.py:41(has_z)
      546    0.004    0.000    0.010    0.000 predicates.py:361(is_valid)
      128    0.004    0.000    0.165    0.001 artist.py:1593(pprint_setters)
        4    0.004    0.001    0.054    0.013 backend_pdf.py:1154(embedTTFType3)
     1056    0.004    0.000    0.012    0.000 npydecl.py:25(_handle_inputs)
     4700    0.004    0.000    0.009    0.000 artist.py:1549(aliased_name)
     6298    0.004    0.000    0.074    0.000 base.py:665(covers)
     4207    0.004    0.000    0.015    0.000 types.py:84(__call__)
     1229    0.004    0.000    0.004    0.000 {method '__exit__' of '_io._IOBase' objects}
     6174    0.004    0.000    0.004    0.000 {method 'match' of 're.Pattern' objects}
     4241    0.004    0.000    0.006    0.000 controlflow.py:383(_dfs)
      861    0.004    0.000    0.004    0.000 predicates.py:137(is_empty)
      343    0.004    0.000    0.006    0.000 analysis.py:190(compute_live_variables)
      341    0.004    0.000    0.303    0.001 postproc.py:71(run)
    38800    0.004    0.000    0.004    0.000 event.py:108(kind)
     2499    0.004    0.000    0.005    0.000 <frozen importlib._bootstrap>:125(release)
    71/15    0.004    0.000    2.619    0.175 typeinfer.py:147(propagate)
  3254/50    0.004    0.000    0.009    0.000 copy.py:128(deepcopy)
     5584    0.004    0.000    0.024    0.000 ffi.py:334(close)
     8054    0.004    0.000    0.004    0.000 {method 'expandtabs' of 'str' objects}
     5292    0.004    0.000    0.021    0.000 ffi.py:377(__del__)
      660    0.004    0.000    0.021    0.000 artist.py:1188(_update_props)
    20540    0.004    0.000    0.005    0.000 {method 'encode' of 'str' objects}
     1774    0.004    0.000    0.099    0.000 context.py:353(resolve_value_type)
      705    0.004    0.000    0.004    0.000 _geometry.py:506(get_geometry)
8208/8141    0.004    0.000    0.032    0.000 manager.py:29(lookup)
     2200    0.004    0.000    0.004    0.000 warnings.py:458(__enter__)
