Total sats: 16978
Beginning main integration...
         7556259851 function calls (7555909580 primitive calls) in 23177.904 seconds

   Ordered by: internal time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
        1 17401.012 17401.012 23177.908 23177.908 satEvol.py:1(<module>)
7334496000 2165.976    0.000 2165.976    0.000 KeplerTools.py:120(getXYZVVV)
   432000 1904.407    0.004 1904.407    0.004 _kdtree.py:608(query_pairs)
   432000 1217.588    0.003 1591.286    0.004 _kdtree.py:353(__init__)
    88824    0.007    0.000    0.007    0.000 {method 'rstrip' of 'str' objects}
        1    0.007    0.007    0.007    0.007 network.py:17(set_ca_bundle_path)
    29956    0.007    0.000    0.163    0.000 ir.py:354(list_vars)
      484    0.007    0.000    0.013    0.000 path.py:319(make_compound_path)
    10176    0.007    0.000    0.090    0.000 re.py:288(_compile)
1556/1474    0.006    0.000    0.041    0.000 inspect.py:2375(_signature_from_callable)
    94314    0.006    0.000    0.006    0.000 {method 'lstrip' of 'str' objects}
    69038    0.006    0.000    0.006    0.000 abstract.py:96(key)
      332    0.006    0.000    0.015    0.000 analysis.py:118(compute_dead_maps)
     1805    0.006    0.000    0.009    0.000 inspect.py:2920(__init__)
    13332    0.006    0.000    0.011    0.000 values.py:564(_get_reference)
    51349    0.006    0.000    0.006    0.000 creation.py:24(_xyz_to_coords)
      319    0.006    0.000    0.008    0.000 function_base.py:505(add_newdoc)
      974    0.006    0.000    0.021    0.000 backend_bases.py:336(_iter_collection)
     1018    0.006    0.000    0.011    0.000 backend_pdf.py:2589(delta)
       98    0.006    0.000    0.008    0.000 numeric.py:2349(isclose)
    40401    0.006    0.000    0.006    0.000 event.py:148(is_end)
        1    0.006    0.006    0.006    0.006 calendar.py:54(<listcomp>)
    79800    0.006    0.000    0.006    0.000 {built-in method time.perf_counter}
    12914    0.006    0.000    0.013    0.000 enum.py:359(__call__)
        8    0.006    0.001    0.520    0.065 feature_artist.py:154(draw)
     2440    0.006    0.000    0.009    0.000 <frozen importlib._bootstrap>:179(_get_module_lock)
14318/13020    0.006    0.000    0.341    0.000 contextlib.py:130(__enter__)
    12616    0.006    0.000    0.007    0.000 builder.py:351(_insert)
     7294    0.006    0.000    0.013    0.000 typeconv.py:40(check_compatible)
2539/1613    0.006    0.000    0.172    0.000 functools.py:961(__get__)
    31269    0.006    0.000    0.008    0.000 utils.py:484(sublist_iterator)
      453    0.006    0.000    0.153    0.000 cpu.py:60(load_additional_registries)
15261/15111    0.006    0.000    0.020    0.000 {built-in method builtins.any}
      546    0.006    0.000    0.024    0.000 trace.pyx:161(project_points)
      670    0.006    0.000    0.009    0.000 creation.py:361(multilinestrings)
5995/5947    0.006    0.000    0.011    0.000 values.py:445(__init__)
3605/1888    0.006    0.000    0.040    0.000 context.py:343(get_meminfos)
    61863    0.005    0.000    0.007    0.000 {method 'add' of 'set' objects}
     3362    0.005    0.000    0.022    0.000 instructions.py:693(__init__)
      500    0.005    0.000    0.005    0.000 {built-in method numpy.zeros}
    16089    0.005    0.000    0.092    0.000 base.py:1249(exit_fn)
    14322    0.005    0.000    0.020    0.000 contextlib.py:279(helper)
    16089    0.005    0.000    0.073    0.000 base.py:1246(enter_fn)
     1200    0.005    0.000    0.251    0.000 <frozen importlib._bootstrap>:921(_find_spec)
    19363    0.005    0.000    0.091    0.000 ir.py:611(list_vars)
     1033    0.005    0.000    0.168    0.000 <frozen importlib._bootstrap_external>:950(get_code)
     3624    0.005    0.000    0.028    0.000 base.py:352(install_registry)
     2000    0.005    0.000    0.023    0.000 context.py:286(find_matching_getattr_template)
       32    0.005    0.000    0.005    0.000 {method 'flatten' of 'numpy.ndarray' objects}
      568    0.005    0.000    0.006    0.000 crs.py:961(equals)
4694/3144    0.005    0.000    1.438    0.000 templates.py:356(apply)
4316/4039    0.005    0.000    0.039    0.000 abstract.py:61(__call__)
    33296    0.005    0.000    0.005    0.000 _utils.py:13(is_used)
      952    0.005    0.000    0.067    0.000 npydecl.py:92(generic)
      192    0.005    0.000    0.009    0.000 _linalg.py:1141(eigvals)
    16507    0.005    0.000    0.005    0.000 sre_parse.py:234(__next)
     2066    0.005    0.000    0.013    0.000 <frozen importlib._bootstrap_external>:380(cache_from_source)
     7600    0.005    0.000    0.011    0.000 target_extension.py:53(get_local_target)
    12089    0.005    0.000    0.005    0.000 {method 'split' of 'str' objects}
    62039    0.005    0.000    0.005    0.000 {method 'values' of 'dict' objects}
      864    0.005    0.000    0.014    0.000 instructions.py:68(__init__)
        2    0.005    0.002    0.005    0.002 {built-in method _ctypes.dlopen}
     2925    0.005    0.000    0.009    0.000 numpy_support.py:148(as_dtype)
 1463/303    0.005    0.000    1.214    0.004 <frozen importlib._bootstrap>:1022(_find_and_load)
 1168/539    0.005    0.000    0.047    0.000 patch.py:51(geos_to_path)
     8957    0.005    0.000    0.006    0.000 <frozen importlib._bootstrap_external>:128(<listcomp>)
    66246    0.005    0.000    0.005    0.000 targetconfig.py:38(default)
     4316    0.005    0.000    0.014    0.000 abstract.py:49(_intern)
   102/60    0.005    0.000    0.779    0.013 lowering.py:266(lower_block)
    16441    0.005    0.000    0.055    0.000 trace.pyx:245(get_state)
     9348    0.004    0.000    0.005    0.000 registry.py:67(__getitem__)
